city_name;cdek_id;region_name;regionCode;subRegion;kladr;paymentLimit
Кочубей;35987;Дагестан;21;Тарумовский;0503400001900;0
Федосьино;45922;Владимирская;17;Юрьев-Польский;3301700011900;-1
Горелово;54479;Пермский;22;Ильинский;5900800018900;0
Татищево;2983;Саратовская;47;Татищевский;6403500000100;0
Новомихайловка;52580;Оренбургская;5;Александровский;5604200003400;0
"Холм (Закустищенское с/пос)";62088;Смоленская;65;Демидовский;6700600022500;0
Усть-Бузулукская;46199;Волгоградская;40;Алексеевский;3400200001500;-1
Янтарное;38818;Крым;90;Красногвардейский;9100500008300;0
Новотуринский;42303;Тюменская;52;Тюменский;7200100002700;0
Равнополье;38866;Крым;90;Симферопольский;9101200003800;-1
Губская;13289;Краснодарский;7;Мостовский;2302300001300;-1
Киреевск;2097;Тульская;37;Киреевский;7101400100000;-1
Иловка;30083;Белгородская;16;Алексеевский;3100200003600;-1
Пшикуйхабль;16623;Адыгея;61;Теучежский;0100600002300;-1
Пролетарский;13999;Краснодарский;7;Кавказский;2301200002000;-1
Бессараб;29764;Белгородская;16;Шебекинский;3102000001500;0
"Верхняя Заимка";36657;Бурятия;12;Северо-Байкальский;0301700000600;0
"Большой Талмаз";52957;Пермский;22;Куединский;5901100001800;-1
Улах-Ан;54790;"Саха /Якутия/";10;Хангаласский;1403200001700;0
Мысовое;39189;Крым;90;Джанкойский;9100300010000;0
Кайластуй;53632;Забайкальский;49;Краснокаменский;7501100000500;0
Хамышки;16671;Адыгея;61;Майкопский;0100400005500;-1
Ильинов;59405;Ростовская;45;Мартыновский;6102100001600;-1
Ирсаево;43591;Башкортостан;27;Мишкинский;0203700007000;0
"Черная Речка";31228;Хабаровский;14;Хабаровский;2701800007000;-1
Победа;46222;Волгоградская;40;Быковский;3400300001100;0
Рождество;60269;Московская;9;Наро-Фоминск;5000005209100;0
Каркалай;39096;Удмуртская;48;Увинский;1802200001500;0
Лебяжье;31307;Алтайский;2;Павловский;2203200001400;0
Верхличи;43621;Брянская;29;Красногорский;3201500000700;0
"Татарская Пишля";45357;Мордовия;68;Рузаевский;1301800006900;0
Архангельское;55638;Тульская;37;Ленинский;7101600000900;0
"Полтава 1-я";63543;Ростовская;45;Азовский;6100200008800;0
Сокол;13837;Пермский;22;Пермский;5902000015700;-1
"Красные Дубки";60865;Самарская;57;Сергиевский;6302100001800;0
Килемары;13779;"Марий Эл";32;Килемарский;1200500000100;0
"Старый Юмралы";37105;Татарстан;39;Апастовский;1600900005300;0
Лойно;14499;Кировская;44;Верхнекамский;4300600004600;0
Псков;393;Псковская;30;Псков;6000000100000;-1
Пустошки;44418;Костромская;42;Костромской;4400100018700;-1
Пощупово;59252;Рязанская;41;Рыбновский;6201400008600;-1
Петрово;54995;Московская;9;Можайский;5001800022300;0
Большовская;15161;Ростовская;45;Волгодонской;6100900000200;0
Плоское;46440;Алтайский;2;Третьяковский;2205100001600;0
Иджа;47348;Красноярский;13;Шушенский;2404300000900;0
Чумичево;60999;Московская;9;Клинский;5001100023200;-1
Пролетарский;55953;Калужская;33;Жиздринский;4000800007500;0
Козет;1600;Адыгея;61;Тахтамукайский;0100500000500;-1
Алексеевка;37656;Белгородская;16;Яковлевский;3102100000200;0
Крюково;30247;Белгородская;16;Яковлевский;3102100004300;0
Барановка;46824;Кемеровская;54;Кемеровский;4200100000400;-1
Ангоя;32822;Бурятия;12;Северо-Байкальский;0301700000200;0
