city_name;cdek_id;region_name;regionCode;subRegion;kladr;paymentLimit
"Белая Дача";1098;"Московская обл.";9;;-1;Europe/Minsk
Алыкель;1120;"Красноярский край";13;;-1;Asia/Krasnoyarsk
"Толстопальцево пос.";1383;"Московская обл.";9;;-1;Europe/Moscow
Авиагородок;1374;"Московская обл.";9;;-1;Europe/Istanbul
Лазаревское;2046;"Краснодарский край";7;;-1;Europe/Moscow
Ростоши;1958;"Оренбургская обл.";5;;-1;Asia/Yekaterinburg
"Коренево пос.";2671;"Курская обл.";62;;-1;Europe/Moscow
Липелей;83471;"Нижегородская обл.";67;" Ардатовский р-н";0
Щедровка;83474;"Нижегородская обл.";67;" Вадский р-н";0
Ватутинки;1559;"Московская обл.";9;;-1;Europe/Moscow
Губцево;1675;"Московская обл.";9;;-1;Europe/Moscow
Пироговский;1709;"Московская обл.";9;;-1;Europe/Moscow
Устье;2465;"Вологодская обл.";51;" Устье-Кубинское р-н";0
Звездный;2435;"Бурятия респ.";12;;-1;Europe/Moscow
Пестово;2822;"Новгородская обл.";31;;-1;Europe/Moscow
Кедровый;3129;"Ханты-Мансийский авт. округ";11;" гор. округ Сургут";-1;Asia/Yekaterinburg
Вахрушево;3132;"Челябинская обл.";3;;-1;Europe/Moscow
Шарапово;3232;"Московская обл.";9;" Наро-Фоминский р-н";-1;Europe/Moscow
"Первое Мая";77633;"Татарстан респ.";39;" Пестречинский р-н";-1;Europe/Moscow
Барсил;79652;"Татарстан респ.";39;" Пестречинский р-н";-1
Барсил;79652;"Татарстан респ.";39;" Пестречинский р-н";-1
Черновский;57743;"Самарская обл.";57;" Волжский р-он";0;Europe/Samara
Сутчево;83518;"Чувашия респ.";64;" Мариинско-Посадский р-н";0
Петрово;83519;"Омская обл.";15;" Тевризский р-н";0
Алькеево;83414;"Татарстан респ.";39;" Буинский р-н";0;Europe/Moscow
"пгт Николаевк";83524;"Крым респ.";90;" Симферопольский р-н";0
Аютинский;83525;"Ростовская обл.";45;" г Шахты";0
Макарово;83574;"Удмуртия респ.";48;;0
Мирный;83576;"Удмуртия респ.";48;;0
Можвай;83577;"Удмуртия респ.";48;;0
Есаулова;83581;"Тюменская обл.";52;" Тюменский р-н";0
"Новый Чультем";83583;"Удмуртия респ.";48;;0
"Новая Елшанка";82745;"Самарская обл.";57;" Кинель-Черкасский р-он";-1
"Новая Елшанка";82745;"Самарская обл.";57;" Кинель-Черкасский р-он";-1
Байкузино;83551;"Удмуртия респ.";48;;0
Верхне-Позимь;83556;"Удмуртия респ.";48;;0
Берёзка;83555;"Удмуртия респ.";48;;0
Забегалово;83563;"Удмуртия респ.";48;;0
Пальники;83587;"Удмуртия респ.";48;;0
Банное;83552;"Удмуртия респ.";48;;0
Кетул;83564;"Удмуртия респ.";48;;0
Александро-Невский;83591;"Челябинская обл.";3;" Нагайбакский р-н";0
Мудрень;83596;"Кировская обл.";44;" Оричевский р-н";0
"Тихий Ключ";83604;"Удмуртия респ.";48;;0
