cdek_id;city_name;region_name
14000;Аблакетка;Восточно-Казахстанская обл.
14005;Аккульск;Восточно-Казахстанская обл.
14006;Аккум;Актюбинская обл.
14008;Аксай;Западно-Казахстанская обл.
14105;Кокшетау-2;Акмолинская обл.
32110;Первомайская промзона, гор. округ Алматы;Алма-Атинская обл.
14176;Сатпаев;Карагандинская обл.
4639;Айдабол;Акмолинская обл.
4669;Акбеит;Акмолинская обл.
4679;Акколь;Акмолинская обл.
34019;Акмол;Акмолинская обл.
4681;Акмолинск;Акмолинская обл.
4687;Аксу;Акмолинская обл.
4733;Алексеевка;Акмолинская обл.
4961;Астана;Акмолинская обл.
4965;Астраханка;Акмолинская обл.
4970;Атабасар;Акмолинская обл.
5111;Балкащино;Акмолинская обл.
5379;Бестобе;Акмолинская обл.
32918;Борисовка, Акбасарский р-н;Акмолинская обл.
5543;Боровое;Акмолинская обл.
6231;Вишневка;Акмолинская обл.
6849;Державинск;Акмолинская обл.
7118;Ерейментау;Акмолинская обл.
15471;Ерейметау;Акмолинская обл.
7121;Есиль;Акмолинская обл.
7133;Жаксы;Акмолинская обл.
7135;Жалтыр;Акмолинская обл.
31265;Железнодорожный;Акмолинская обл.
7171;Жолымбет;Акмолинская обл.
7243;Зеренда;Акмолинская обл.
15695;Коянды;Акмолинская обл.
8266;Красный Яр;Акмолинская обл.
8369;Кургальджинский;Акмолинская обл.
8896;Макинск;Акмолинская обл.
11387;Степногорск;Акмолинская обл.
11388;Степняк;Акмолинская обл.
12767;Шортанды;Акмолинская обл.
12796;Щучинск;Акмолинская обл.
4698;Акшам;Актюбинская обл.
4712;Алга;Актюбинская обл.
5066;Байганин;Актюбинская обл.
5191;Батамшинский;Актюбинская обл.
15467;Жем;Актюбинская обл.
7376;Иргиз;Актюбинская обл.
7665;Карабутак;Актюбинская обл.
32854;Карауылкельды;Актюбинская обл.
14107;Комсомольское;Актюбинская обл.
9009;Мартук;Актюбинская обл.
9551;Новоалексеевка;Актюбинская обл.
9842;Октябрьск;Актюбинская обл.
42923;Онгар, Хромтауский р-н;Актюбинская обл.
11852;Уил;Актюбинская обл.
12437;Хромтау;Актюбинская обл.
12536;Челкар;Актюбинская обл.
12777;Шубаркудук;Актюбинская обл.
12876;Эмба;Актюбинская обл.
15400;Аймен;Алма-Атинская обл.
4695;Актогай;Алма-Атинская обл.
4756;Алматы;Алма-Атинская обл.
4848;Андреевка;Алма-Атинская обл.
22937;Байсерке;Алма-Атинская обл.
5084;Баканас;Алма-Атинская обл.
5726;Бурундай;Алма-Атинская обл.
6877;Джансугуров;Алма-Атинская обл.
15468;Есик;Алма-Атинская обл.
7392;Иссык;Алма-Атинская обл.
32831;Кайнар, Талгарский р-н;Алма-Атинская обл.
7652;Капал;Алма-Атинская обл.
7656;Капчагай;Алма-Атинская обл.
7664;Карабулак;Алма-Атинская обл.
33806;Караой, Илийский р-н;Алма-Атинская обл.
7735;Каскелен;Алма-Атинская обл.
32815;Кеген;Алма-Атинская обл.
7924;Кировский;Алма-Атинская обл.
8323;Кугалы;Алма-Атинская обл.
34192;Лепсы;Алма-Атинская обл.
14305;Мерей, Карасайский р-н;Алма-Атинская обл.
42929;Мукры;Алма-Атинская обл.
23078;Мухаметжан Туймебаева;Алма-Атинская обл.
9460;Нарынкол;Алма-Атинская обл.
37793;Отенай;Алма-Атинская обл.
10074;Панфилов;Алма-Атинская обл.
15401;Первомайский;Алма-Атинская обл.
10961;Сарканд;Алма-Атинская обл.
10969;Сарыозек;Алма-Атинская обл.
11489;Талгар;Алма-Атинская обл.
11490;Талдыкорган;Алма-Атинская обл.
11570;Текели;Алма-Атинская обл.
33168;Туздыбастау, Талгарский р-н;Алма-Атинская обл.
11851;Узунагач;Алма-Атинская обл.
11911;Учарал;Алма-Атинская обл.
15469;Ушарал;Алма-Атинская обл.
11916;Уштобе;Алма-Атинская обл.
14218;Хоргос;Алма-Атинская обл.
12604;Чилик;Алма-Атинская обл.
12651;Чунджа;Алма-Атинская обл.
14003;Аккистау;Атырауская обл.
5077;Байчунас;Атырауская обл.
5129;Балыкши;Атырауская обл.
33568;Бирлик;Атырауская обл.
6388;Ганюшкино;Атырауская обл.
6991;Доссор;Атырауская обл.
15479;Жаскайрат;Атырауская обл.
7348;Индерборский;Атырауская обл.
7386;Искининский;Атырауская обл.
7679;Каратон;Атырауская обл.
31593;Котяевка;Атырауская обл.
8349;Кульсары;Атырауская обл.
8892;Макат;Атырауская обл.
9066;Махамбет;Атырауская обл.
9251;Миялы;Атырауская обл.
15480;Тенгиз;Атырауская обл.
4671;Акжал;Восточно-Казахстанская обл.
4688;Аксуат;Восточно-Казахстанская обл.
5008;Ауэзов;Восточно-Казахстанская обл.
5041;Аягуз;Восточно-Казахстанская обл.
5180;Баршатас;Восточно-Казахстанская обл.
5312;Бельагаш;Восточно-Казахстанская обл.
5519;Бескарагай (Большая Владимировка);Восточно-Казахстанская обл.
5506;Боко;Восточно-Казахстанская обл.
5547;Бородулиха;Восточно-Казахстанская обл.
6447;Георгиевка;Восточно-Казахстанская обл.
7137;Жангизтобе;Восточно-Казахстанская обл.
7138;Жарма;Восточно-Казахстанская обл.
34479;Жезкент;Восточно-Казахстанская обл.
7540;Кайнар;Восточно-Казахстанская обл.
34384;Калбатау;Восточно-Казахстанская обл.
8061;Кокпекты;Восточно-Казахстанская обл.
8889;Маканчи;Восточно-Казахстанская обл.
9546;Новая Шульба;Восточно-Казахстанская обл.
15481;Семей (Семипалатинск);Восточно-Казахстанская обл.
11535;Таскескен;Восточно-Казахстанская обл.
11893;Урджар;Восточно-Казахстанская обл.
34478;Усть-Таловка;Восточно-Казахстанская обл.
12523;Чарск;Восточно-Казахстанская обл.
15482;Шар;Восточно-Казахстанская обл.
4672;Акжар;Восточно-Казахстанская обл.
4732;Алексеевка;Восточно-Казахстанская обл.
4967;Асубулак;Восточно-Казахстанская обл.
5293;Белогорский;Восточно-Казахстанская обл.
5304;Белоусовка;Восточно-Казахстанская обл.
5996;Верхнеберезовский;Восточно-Казахстанская обл.
6509;Глубокое;Восточно-Казахстанская обл.
7187;Зайсан;Восточно-Казахстанская обл.
7271;Зыряновск;Восточно-Казахстанская обл.
7671;Карагужиха;Восточно-Казахстанская обл.
7761;Катон-Карагай;Восточно-Казахстанская обл.
8377;Курчум;Восточно-Казахстанская обл.
8588;Лениногорск;Восточно-Казахстанская обл.
14338;Риддер;Восточно-Казахстанская обл.
10823;Самарское;Восточно-Казахстанская обл.
11150;Серебрянск;Восточно-Казахстанская обл.
11903;Усть-Каменогорск;Восточно-Казахстанская обл.
12725;Шемонаиха;Восточно-Казахстанская обл.
15483;Айша-Биби;Жамбылская обл.
33572;Акбулым;Жамбылская обл.
5070;Байкадам;Жамбылская обл.
5649;Брлик;Жамбылская обл.
5723;Бурное;Жамбылская обл.
6445;Георгиевка;Жамбылская обл.
6610;Гранитогорск;Жамбылская обл.
33573;Гродеково;Жамбылская обл.
15484;Ерназар;Жамбылская обл.
33574;Жалпак-Тобе;Жамбылская обл.
7136;Жанатас;Жамбылская обл.
7677;Каратау;Жамбылская обл.
8062;Коктал;Жамбылская обл.
34904;Корагаты;Жамбылская обл.
8793;Луговое;Жамбылская обл.
9123;Мерке;Жамбылская обл.
9244;Михайловка;Жамбылская обл.
9564;Новотроицкое;Жамбылская обл.
9826;Ойтал;Жамбылская обл.
9989;Отар;Жамбылская обл.
33575;Пригородное;Жамбылская обл.
15485;Степное;Жамбылская обл.
11518;Тараз;Жамбылская обл.
15486;Татты;Жамбылская обл.
14202;Толе Би;Жамбылская обл.
12138;Фурмановка;Жамбылская обл.
12589;Чиганак;Жамбылская обл.
12644;Чу;Жамбылская обл.
14047;Деркул;Западно-Казахстанская обл.
15488;Жангала;Западно-Казахстанская обл.
14075;Зачаганск;Западно-Казахстанская обл.
15489;Казталовка;Западно-Казахстанская обл.
33062;Мичуринское;Западно-Казахстанская обл.
14152;Подстепное;Западно-Казахстанская обл.
15490;Тайпак;Западно-Казахстанская обл.
15491;Трекино;Западно-Казахстанская обл.
11883;Уральск;Западно-Казахстанская обл.
15492;Федоровка;Западно-Казахстанская обл.
13982;Айтеке-Би;Южно-Казахстанская обл.
17395;Актобе (На Абулхаир хана);Актюбинская обл.
4693;Актобе, Казахстан;Актюбинская обл.
4699;Акший;Восточно-Казахстанская обл.
4950;Аршалы;Акмолинская обл.
4975;Атбасар;Акмолинская обл.
4994;Атырау (Гурьев);Атырауская обл.
