cdek_id;city_name;region_name
16630;"17 Лет Октября, Майкопский р-н";Адыгея
16418;Абадзехская;Адыгея
16713;"Адамий, Красногвардейский р-н";Адыгея
1588;Адыгейск;Адыгея
16608;"Ассоколай, Теучежский р-н";Адыгея
1590;Афипсип;Адыгея
16631;"Безводная, Майкопский р-н";Адыгея
16439;Белое;Адыгея
16591;"Бжедугхабль, Красногвардейский р-н";Адыгея
16444;Блечепсин;Адыгея
16714;"Богурсуков, Красногвардейский р-н";Адыгея
16440;Большесидировское;Адыгея
16715;"Верхненазаровское, Красногвардейский р-н";Адыгея
16731;"Веселый, Шовгеновский р-н";Адыгея
16675;"Владимировское, Гиагинский р-н";Адыгея
16716;"Водный, Красногвардейский р-н";Адыгея
16676;"Вольно-Веселый, Гиагинский р-н";Адыгея
16428;Вольное;Адыгея
16632;"Вольный, Майкопский р-н";Адыгея
16609;"Вочепший, Теучежский р-н";Адыгея
16441;Габукай;Адыгея
16633;"Гавердовский, Майкопский р-н";Адыгея
16677;"Гавриловский, Гиагинский р-н";Адыгея
16610;"Гатлукай, Теучежский р-н";Адыгея
16678;"Георгиевское, Гиагинский р-н";Адыгея
16027;Гиагинская;Адыгея
16679;"Гончарка, Гиагинский р-н";Адыгея
16611;"Городской, Теучежский р-н";Адыгея
16634;"Гражданский, Майкопский р-н";Адыгея
16635;"Грозный (Кировское с/п),  Майкопский р-н";Адыгея
16636;"Грозный (Побединское с/п), Майкопский р-н";Адыгея
16637;"Гузерипль, Майкопский р-н";Адыгея
16638;"Дагестанская, Майкопский р-н";Адыгея
16424;Даховская;Адыгея
16717;"Джамбичи, Красногвардейский р-н";Адыгея
16446;Джерокай;Адыгея
16612;"Джиджихабль, Теучежский р-н";Адыгея
16697;"Дмитриевский, Кошехабльский р-н";Адыгея
16718;"Догужиев, Красногвардейский р-н";Адыгея
16422;Дондуковская;Адыгея
16732;"Дорошенко,Шовгеновский р-н";Адыгея
16426;Дружба;Адыгея
16592;"Дружный, Тахтамукайский р-н";Адыгея
16430;Дукмасов;Адыгея
16639;"Дьяков, Майкопский р-н";Адыгея
16447;Егерухай;Адыгея
16448;Еленовское;Адыгея
16733;"Задунаевский, Шовгеновский р-н";Адыгея
16425;Зарево;Адыгея
16427;Игнатьевский;Адыгея
34850;Казазов;Адыгея
16698;"Казенно-Кужорский, Кошехабльский р-н";Адыгея
16640;"Калинин, Майкопский р-н";Адыгея
16421;Каменномостский;Адыгея
16641;"Кармирастх, Майкопский р-н";Адыгея
16699;"Кармолино-Гидроицкий, Кошехабльский р-н";Адыгея
16680;"Карцев, Гиагинский р-н";Адыгея
16734;"Касаткин,  Шовгеновский р-н";Адыгея
16735;"Келеметов, Шовгеновский р-н";Адыгея
16417;Келермесская;Адыгея
16642;"Киша, Майкопский р-н";Адыгея
1600;Козет;Адыгея
16613;"Колос, Теучежский р-н";Адыгея
16643;"Коминтерн, Майкопский р-н";Адыгея
16700;"Комсомольский, Кошехабльский р-н";Адыгея
16644;"Косинов, Майкопский р-н";Адыгея
32942;"Кочкин, Теучежский р-н";Адыгея
1229;Кошехабль;Адыгея
16414;"Красная Улька";Адыгея
16594;"Красноармейский, Тахтамукайский р-н";Адыгея
16449;Красногвардейское;Адыгея
46397;Красное;Адыгея
16411;"Краснооктябрьский, Майкопский р-н";Адыгея
16645;"Красный Мост, Майкопский р-н";Адыгея
16681;"Красный Пахарь, Гиагинский р-н";Адыгея
16701;"Красный Фарс, Кошехабльский р-н";Адыгея
16682;"Красный Хлебороб, Гиагинский р-н";Адыгея
16702;"Красный, Кошехабльский р-н";Адыгея
16646;"Круглый, Майкопский р-н";Адыгея
16416;Кужорская;Адыгея
16615;"Кунчукохабль, Теучежский р-н";Адыгея
16647;"Курджипская, Майкопский р-н";Адыгея
16683;"Курский,  Гиагинский р-н";Адыгея
16736;"Лейбоабазов, Шовгеновский р-н";Адыгея
16684;Лесной;Адыгея
16719;"Лесной,Красногвардейский р-н";Адыгея
16737;"Лесхозный, Шовгеновский р-н";Адыгея
1233;Майкоп;Адыгея
16445;Майский;Адыгея
16738;"Мамацев, Шовгеновский р-н";Адыгея
16431;Мамхег;Адыгея
16648;"Махошеполяна, Майкопский р-н";Адыгея
16649;"Меркулаевка, Майкопский р-н";Адыгея
16720;"Мирный, Красногвардейский р-н";Адыгея
16650;"Мирный, Майкопский р-н";Адыгея
16739;"Михайлов, Шовгеновский р-н";Адыгея
16685;"Михельсоновский, Гиагинский р-н";Адыгея
16740;"Мокроназаров, Шовгеновский р-н";Адыгея
16721;"Набережный,  Красногвардейский р-н";Адыгея
16595;Натухай;Адыгея
1083;Натырбово;Адыгея
16703;"Натырбово, Кошехабльский р-н";Адыгея
16616;"Начерезий, Теучежский р-н";Адыгея
16686;"Нечаевский, Гиагинский р-н";Адыгея
16617;"Нешукай, Теучежский р-н";Адыгея
16687;"Нижний Айрюм, Гиагинский р-н";Адыгея
16383;"Новая Адыгея";Адыгея
16704;"Новоалексеевский, Кошехабльский р-н";Адыгея
16618;"Нововочепший, Теучежский р-н";Адыгея
16596;"Новомогилевский, Тахтамукайский р-н";Адыгея
16651;"Новопрохладное, Майкопский р-н";Адыгея
16741;"Новорусов, Шовгеновский р-н";Адыгея
16652;"Новосвободная, Майкопский р-н";Адыгея
16722;"Новосевастопольское, Красногвардейский р-н";Адыгея
16423;Новый;Адыгея
16597;"Новый Сад, Тахтамукайский р-н";Адыгея
16688;"Образцовое, Гиагинский р-н";Адыгея
16653;"Октябрьский, Майкопский р-н";Адыгея
16742;"Орехов, Шовгеновский р-н";Адыгея
16598;Отрадный;Адыгея
16705;"Отрадный, Кошехабльский р-н";Адыгея
16599;"Панахес, Тахтамукайский р-н";Адыгея
16723;"Папенков, Красногвардейский р-н";Адыгея
16743;"Пентюхов, Шовгеновский р-н";Адыгея
16689;"Первомайский, Гиагинский р-н";Адыгея
16654;"Первомайский, Майкопский р-н";Адыгея
16619;"Петров, Теучежский р-н";Адыгея
16744;"Пикалин, Шовгеновский р-н";Адыгея
16706;"Плодопитомник, Кошехабльский р-н";Адыгея
16655;"Победа п, Майкопский р-н";Адыгея
16656;"Победа х, Майкопский р-н";Адыгея
16657;"Подгорный, Майкопский р-н";Адыгея
16707;"Политотдел, Кошехабльский р-н";Адыгея
16620;"Понежукай, Теучежский р-н";Адыгея
16724;"Преображенское,  Красногвардейский р-н";Адыгея
16600;"Прикубанский, Тахтамукайский р-н, ";Адыгея
16658;"Приречный, Майкопский р-н";Адыгея
16690;"Прогресс, Гиагинский р-н";Адыгея
16659;"Пролетарский, Майкопский р-н";Адыгея
16601;"Псейтук, Тахтамукайский р-н";Адыгея
1617;Псекупс;Адыгея
16725;"Пустоселов, Красногвардейский р-н";Адыгея
16622;"Пчегатлукай, Теучежский р-н";Адыгея
16745;"Пшизов,  Шовгеновский р-н";Адыгея
16623;"Пшикуйхабль, Теучежский р-н";Адыгея
16442;Пшичо;Адыгея
16429;Садовое;Адыгея
16691;"Садовый, Гиагинский р-н";Адыгея
16660;"Садовый, Майкопский р-н";Адыгея
16726;"Саратовский, Красногвардейский р-н";Адыгея
16746;"Свободный Труд, Шовгеновский р-н";Адыгея
16727;"Свободный, Красногвардейский р-н";Адыгея
16661;"Севастопольская, Майкопский р-н";Адыгея
16410;"Северо-Восточные Сады";Адыгея
16747;"Семено-Макаровский, Шовгеновский р-н";Адыгея
16419;Сергиевское;Адыгея
16708;"Смольчев-Малиновский, Гиагинский р-н";Адыгея
16662;"Советский, Майкопский р-н";Адыгея
16412;Совхозный;Адыгея
16709;"Соколов, Кошехабльский р-н";Адыгея
16663;"Спокойный, Майкопский р-н";Адыгея
16602;"Старобжегокай, Тахтамукайский р-н";Адыгея
16603;"Старомогилевский, Тахтамукайский р-н";Адыгея
16664;"Султанская Караулка, Майкопский р-н";Адыгея
16604;"Суповский, Тахтамукайский р-н";Адыгея
16665;"Табачный, Майкопский р-н";Адыгея
16692;"Тамбовский, Гиагинский р-н";Адыгея
16693;"Тапехин, Гиагинский р-н";Адыгея
16624;"Тауйхабль, Теучежский р-н";Адыгея
1350;Тахтамукай;Адыгея
16415;Тимирязева;Адыгея
16748;"Тихонов, Шовгеновский р-н";Адыгея
16666;"Ткачев, Майкопский р-н";Адыгея
1624;Тлюстенхабль;Адыгея
40046;"Трехречный, Майкопский р-н";Адыгея
16626;"Тугургой, Теучежский р-н";Адыгея
16413;Тульский;Адыгея
16667;"Удобный, Майкопский р-н";Адыгея
16749;"Ульский, Шовгеновский р-н";Адыгея
16438;Уляп;Адыгея
16668;"Усть-Сахрайский, Майкопский р-н";Адыгея
16669;"Учебное Лесничество, Майкопский р-н";Адыгея
16694;"Фарсовый, Гиагинский р-н";Адыгея
16670;"Хакодзь, Майкопский р-н";Адыгея
16432;Хакуринохабль;Адыгея
16752;"Хакуринохабль, Шовгеновский р-н";Адыгея
16671;"Хамышки, Майкопский р-н";Адыгея
16672;"Ханская, Майкопский р-н";Адыгея
16750;"Хатажукай, Шовгеновский р-н";Адыгея
16728;"Хатукай,  Красногвардейский р-н";Адыгея
16710;"Хачемзий, Кошехабльский р-н";Адыгея
16605;"Хаштук, Тахтамукайский р-н";Адыгея
16443;Ходзь;Адыгея
16606;"Хомуты, Тахтамукайский р-н";Адыгея
16627;"Чабанов, Теучежский р-н";Адыгея
16695;"Черемушкин, Гиагинский р-н";Адыгея
16711;"Чехрак, п Кошехабльский р-н";Адыгея
16751;"Чикалов,  Шовгеновский р-н";Адыгея
16729;"Чумаков, Красногвардейский р-н";Адыгея
16673;"Шаумян, Майкопский р-н";Адыгея
16628;"Шевченко, Теучежский р-н";Адыгея
16712;"Шелковников, Кошехабльский р-н";Адыгея
16607;"Шенджий,  Тахтамукайский р-н";Адыгея
16730;"Штурбино, Красногвардейский р-н";Адыгея
16629;"Шундук, Теучежский р-н";Адыгея
16674;Шунтук;Адыгея
1627;Энем;Адыгея
323;Яблоновский;Адыгея
44227;"Акимовка, Краснощёковский р-н";Алтай
15403;Акташ;Алтай
38033;"Алексеевка, Благовещенский р-н";Алтай
40032;"Ануйское, Смоленский р-н";Алтай
13481;Артыбаш;Алтай
13516;"Барангол, майминский р-н";Алтай
13523;Барлак;Алтай
32674;Беш-Озек;Алтай
37741;Бийка;Алтай
13504;Бирюля;Алтай
42310;Верх-Бийск;Алтай
37671;"Верх-Уймон, Усть-Коксинский р-н";Алтай
39664;Гилев-Лог;Алтай
822;Горно-Алтайск;Алтай
37885;Горьковское;Алтай
37875;Дегтярка;Алтай
36431;Дмитриевка;Алтай
13512;Дубровка;Алтай
46112;Замульта;Алтай
13514;Известковый;Алтай
33180;Иогач;Алтай
40296;Кабаново;Алтай
13521;Камлак;Алтай
51929;"Карабинка, Солтонский р-н";Алтай
51758;"Каракол, Онгудайский р-н";Алтай
37931;"Катунское, Смоленский р-н";Алтай
13518;"Катунь, Чемальский р-н";Алтай
52321;Кебезень;Алтай
40273;Комарское;Алтай
42556;"Комсомольский, Мамонтовский р-н";Алтай
42313;"Комсомольский, Павловский р-н";Алтай
51789;"Контошино, Косихинский р-н";Алтай
43981;Коротояк;Алтай
15404;Кош-Агач;Алтай
36698;Курай;Алтай
31704;Кызыл-Озек;Алтай
42312;Лебедино;Алтай
77;Майма;Алтай
40286;"Макарьевка, Алтайский р-н";Алтай
39833;"Малышев Лог, Волчихинский р-н";Алтай
13476;"Манжерок, Майминский р-н";Алтай
36883;Мульта;Алтай
13524;Мыюта;Алтай
42311;"Николаевка, Благовещенский р-н";Алтай
42314;"Николаевка, Петропавловский р-н";Алтай
49370;Озеро-Куреево;Алтай
52014;"Озёрное, Онгудайский р-н";Алтай
13482;Онгудай;Алтай
36432;Ортолык;Алтай
13505;Паспаул;Алтай
35994;Пещерка;Алтай
13506;"Подгорное, Майминский р-н";Алтай
51835;"Подойниково, Панкрушихинский р-н";Алтай
13513;Рыбалка;Алтай
37595;Савинка;Алтай
33181;Сейка;Алтай
37686;"Семеновка, Кулундинский р-н";Алтай
39121;"Сорочий лог";Алтай
38083;"Сосновка, Красногорский р-н";Алтай
13483;Соузга;Алтай
39107;Староперуново;Алтай
37599;"Степное, Солонешенский р-н";Алтай
39506;Ташанта;Алтай
48145;Теньга;Алтай
49350;Тихонькая;Алтай
43488;Туньжа;Алтай
15405;Турочак;Алтай
40031;"Тягун, Заринский р-н";Алтай
13519;"Узнезя, Чемальский р-н";Алтай
15406;Улаган;Алтай
36884;Ускуч;Алтай
15407;Усть-Кан;Алтай
15408;Усть-Кокса;Алтай
13515;"Усть-Муны, Майминский р-н";Алтай
13525;Усть-Сема;Алтай
39507;Хорошее;Алтай
48807;Чаган-Узун;Алтай
13478;Чемал;Алтай
46886;Чендек;Алтай
13517;"Чепош, Чемальский р-н";Алтай
13522;Черга;Алтай
37782;Черемное;Алтай
48174;"Черный Ануй";Алтай
39505;Чибиля;Алтай
13503;Чоя;Алтай
13479;Шебалино;Алтай
13520;"Элекмонар, Чемальский р-н";Алтай
52446;Юстик;Алтай
14854;Авиатор;"Алтайский край"
33757;Акутиха;"Алтайский край"
47062;Аламбай;"Алтайский край"
795;Алейск;"Алтайский край"
51338;"Александровка, Немецкий национальный р-н";"Алтайский край"
33761;"Алексеевка, Петропавловский р-н";"Алтайский край"
33679;Аллак;"Алтайский край"
6;Алтайское;"Алтайский край"
43985;"Алтайское, Табунский р-н";"Алтайский край"
33308;"Антипино, Тогульский р-н";"Алтайский край"
50419;Антоньевка;"Алтайский край"
36436;Антошиха;"Алтайский край"
35717;Арбузовка;"Алтайский край"
48685;Асямовка;"Алтайский край"
24510;Ащегуль;"Алтайский край"
13480;Ая;"Алтайский край"
1856;Баево;"Алтайский край"
34990;Бажево;"Алтайский край"
36668;Барановка;"Алтайский край"
274;Барнаул;"Алтайский край"
32719;"Баюновские Ключи";"Алтайский край"
49042;Безрукавка;"Алтайский край"
50420;Белоглазово;"Алтайский край"
814;Белокуриха;"Алтайский край"
33330;Белояровка;"Алтайский край"
37725;"Березовка, Красногорский р-н";"Алтайский край"
31681;"Березовка, Первомайский р-н";"Алтайский край"
48612;"Березовский, Панкрушихинский р-н";"Алтайский край"
46416;"Берёзовка, гор. окр. Барнаул";"Алтайский край"
44711;"Берёзовка, Чарышский р-н";"Алтайский край"
