Код услуги;Добавление в заказе;Название;Описание
2;Запрещено, начисляется автоматически;СТРАХОВАНИЕ;Обеспечение страховой защиты посылки. Размер дополнительного сбора страхования вычисляется от размера объявленной стоимости отправления. Важно: Услуга начисляется автоматически для всех заказов ИМ, не разрешена для самостоятельной передачи в тэге AddService.
3;Разрешено;ДОСТАВКА В ВЫХОДНОЙ ДЕНЬ;Компания СДЭК осуществляет доставку и отправление документов и грузов в выходные и нерабочие дни. При доставке или отправлении документов или грузов в выходной день к базовому тарифу добавляется 300 руб.
4;Доступно только в ЛК и при оформлении через Call-центр;ОТПРАВКА В ВЫХОДНОЙ ДЕНЬ;Компания СДЭК осуществляет доставку и отправление документов и грузов в выходные и нерабочие дни. При доставке или отправлении документов или грузов в выходной день к базовому тарифу добавляется 300 руб.
5;Запрещено, начисляется автоматически;ТЯЖЕЛЫЙ ГРУЗ;"При отправке тяжелых грузов,
•если вес 1 места составляет от 75 до 200 кг, то тариф увеличивается на 18 руб за каждый килограмм,
•если вес 1 места более 200 кг, то тариф увеличивается на 25 руб за каждый килограмм.
Также возможен индивидуальный расчет стоимости доставки тяжелых грузов.
Тарифы на такие отправления будут рассчитаны индивидуально и в короткие сроки (не более 1 рабочего дня) и могут быть значительно дешевле наших базовых тарифов.
"
6;Запрещено, начисляется автоматически;НЕГАБАРИТНЫЙ ГРУЗ;При доставке негабаритного Отправления, размер одной из сторон которого превышает 1,5 м тариф увеличивается на 30 % (если отправление рассчитывается не по объемному весу). Стоимость и возможность доставки Отправления, размер одной из сторон которого превышает 2,2 м, согласовывается дополнительно при размещении заявки.
7;Запрещено, начисляется сотрудником СДЭК;ОПАСНЫЙ ГРУЗ;В связи с определенным риском стоимость доставки грузов, относящихся к категории опасных, увеличивается в 1,5 раза. Кроме обычных документов и грузов, компания СДЭК готова доставить отправления, содержащие опасные грузы (кроме запрещенных к перевозке).
8;Запрещено, начисляется автоматически;ОЖИДАНИЕ БОЛЕЕ 15 МИН. У ОТПРАВИТЕЛЯ;"К приезду курьера Отправление должно быть подготовлено.
По правилам компании СДЭК курьер может ожидать передачи или получения отправления не более 15 минут.
В случаях, когда курьер дожидается приема или передачи Отправления более 15 минут, взимается дополнительный сбор в размере 170 рублей.
 Не допускается на тарифах Посылка.
"
9;Запрещено, начисляется автоматически;ОЖИДАНИЕ БОЛЕЕ 15 МИН. У ПОЛУЧАТЕЛЯ;"К приезду курьера Отправление должно быть подготовлено.
По правилам компании СДЭК курьер может ожидать передачи или получения отправления не более 15 минут.
В случаях, когда курьер дожидается приема или передачи Отправления более 15 минут, взимается дополнительный сбор в размере 170 рублей.
 Не допускается на тарифах Посылка.
"
10;Запрещено, начисляется автоматически;ХРАНЕНИЕ НА СКЛАДЕ;"При необходимости наша компания предоставляет возможность хранения груза на складе, первые 7 дней — БЕСПЛАТНО.
Начиная с восьмых суток, плата за хранение осуществляется по следующим тарифам:
•стандартного отправления (1 место размером до 25*40*60см) - основной тариф 15 руб./место за 1 календарный день, включая выходные и праздничные дни;
•не стандартного отправления (1 место размером более 25*40*60см ) - основной тариф 30 руб./место за 1 календарный день, включая выходные и праздничные дни.
"
13;Запрещено, начисляется сотрудником СДЭК;ПРОЧЕЕ;Дополнительный сбор от кредитного контроля СДЭК.
14;Запрещено, начисляется автоматически;УДАЛЕННЫЙ РАЙОН;В случаях, когда забор или доставка груза курьером осуществляется из удаленного района города, взимается дополнительная плата. Установленный перечень удаленных районов Вы можете узнать по телефону единой справочной службы 8-800-250-04-05 (звонок бесплатный) или у менеджеров компании в офисе Вашего города.
15;Запрещено, начисляется автоматически;ПОВТОРНАЯ ПОЕЗДКА;Размер сбора зависит от веса отправления и стоимости доставки по городу. Когда требуется повторный вызов курьера по ранее аннулированному заказу либо доставка/забор не были осуществлены по вине клиента, начисляется дополнительный сбор.
16;Разрешено;ЗАБОР В ГОРОДЕ ОТПРАВИТЕЛЕ ;Дополнительная услуга забора груза в городе отправителя, при условии что тариф доставки с режимом «от склада» (не доступна для тарифов Посылка)
17;Разрешено;ДОСТАВКА В ГОРОДЕ ПОЛУЧАТЕЛЕ ;Дополнительная услуга доставки груза в городе получателя, при условии что тариф доставки с режимом «до склада» (только для тарифов «Магистральный», «Магистральный супер-экспресс»)
