ID;FullName;CityName;OblName
2112;Белоруссия (Беларусь), Белоруссия (Беларусь);Белоруссия (Беларусь);
4870;Антополь, Брестская обл., Белоруссия (Беларусь);Антополь, Брестская обл.;Брестскаяобл.
5144;Барановичи, Брестская обл., Белоруссия (Беларусь);Барановичи, Брестская обл.;Брестскаяобл.
5301;Белоозерск, Брестская обл., Белоруссия (Беларусь);Белоозерск, Брестская обл.;Брестскаяобл.
5352;Береза Картуска, Брестская обл., Белоруссия (Белар;Береза Картуска, Брестская обл.;Брестскаяобл.
5353;Береза, Брестская обл., Белоруссия (Беларусь);Береза, Брестская обл.;Брестскаяобл.
5624;Брест, Брестская обл., Белоруссия (Беларусь);Брест, Брестская обл.;Брестскаяобл.
6324;Высокое, Брестская обл., Белоруссия (Беларусь);Высокое, Брестская обл.;Брестскаяобл.
6386;Ганцевичи, Брестская обл., Белоруссия (Беларусь);Ганцевичи, Брестская обл.;Брестскаяобл.
6566;Городище, Брестская обл., Белоруссия (Беларусь);Городище, Брестская обл.;Брестскаяобл.
6736;Давид-Городок, Брестская обл., Белоруссия (Беларус;Давид-Городок, Брестская обл.;Брестскаяобл.
6977;Домачево, Брестская обл., Белоруссия (Беларусь);Домачево, Брестская обл.;Брестскаяобл.
7007;Дрогичин, Брестская обл., Белоруссия (Беларусь);Дрогичин, Брестская обл.;Брестскаяобл.
7131;Жабинка, Брестская обл., Белоруссия (Беларусь);Жабинка, Брестская обл.;Брестскаяобл.
15616;Иваново, Белоруссия (Беларусь);Иваново;Брестскаяобл.
7291;Ивацевичи, Брестская обл., Белоруссия (Беларусь);Ивацевичи, Брестская обл.;Брестскаяобл.
7591;Каменец, Брестская обл., Белоруссия (Беларусь);Каменец, Брестская обл.;Брестскаяобл.
8023;Кобрин, Брестская обл., Белоруссия (Беларусь);Кобрин, Брестская обл.;Брестскаяобл.
8812;Лунинец, Брестская обл., Белоруссия (Беларусь);Лунинец, Брестская обл.;Брестскаяобл.
8839;Ляховичи, Брестская обл., Белоруссия (Беларусь);Ляховичи, Брестская обл.;Брестскаяобл.
8914;Малорита, Брестская обл., Белоруссия (Беларусь);Малорита, Брестская обл.;Брестскаяобл.
10403;Пружаны, Брестская обл., Белоруссия (Беларусь);Пружаны, Брестская обл.;Брестскаяобл.
11405;Столин, Брестская обл., Белоруссия (Беларусь);Столин, Брестская обл.;Брестскаяобл.
5146;Барань, Витебская обл., Белоруссия (Беларусь);Барань, Витебская обл.;Витебскаяобл.
5224;Бегомль, Витебская обл., Белоруссия (Беларусь);Бегомль, Витебская обл.;Витебскаяобл.
5391;Бешенковичи, Витебская обл., Белоруссия (Беларусь);Бешенковичи, Витебская обл.;Витебскаяобл.
5495;Богушевск, Витебская обл., Белоруссия (Беларусь);Богушевск, Витебская обл.;Витебскаяобл.
5590;Браслав, Витебская обл., Белоруссия (Беларусь);Браслав, Витебская обл.;Витебскаяобл.
5998;Верхнедвинск, Витебская обл., Белоруссия (Беларусь;Верхнедвинск, Витебская обл.;Витебскаяобл.
6092;Ветрино, Витебская обл., Белоруссия (Беларусь);Ветрино, Витебская обл.;Витебскаяобл.
6101;Видзы, Витебская обл., Белоруссия (Беларусь);Видзы, Витебская обл.;Витебскаяобл.
6215;Витебск, Витебская обл., Белоруссия (Беларусь);Витебск, Витебская обл.;Витебскаяобл.
6276;Воропаево, Витебская обл., Белоруссия (Беларусь);Воропаево, Витебская обл.;Витебскаяобл.
6508;Глубокое, Витебская обл., Белоруссия (Беларусь);Глубокое, Витебская обл.;Витебскаяобл.
6570;Городок, Витебская обл., Белоруссия (Беларусь);Городок, Витебская обл.;Витебскаяобл.
6949;Дисна, Витебская обл., Белоруссия (Беларусь);Дисна, Витебская обл.;Витебскаяобл.
6972;Докшицы, Витебская обл., Белоруссия (Беларусь);Докшицы, Витебская обл.;Витебскаяобл.
13526;Должа, Витебская обл., Белоруссия (Беларусь);Должа, Витебская обл.;Витебскаяобл.
7014;Друя, Витебская обл., Белоруссия (Беларусь);Друя, Витебская обл.;Витебскаяобл.
7025;Дубровно, Витебская обл., Белоруссия (Беларусь);Дубровно, Витебская обл.;Витебскаяобл.
7087;Езерище, Витебская обл., Белоруссия (Беларусь);Езерище, Витебская обл.;Витебскаяобл.
8606;Лепель, Витебская обл., Белоруссия (Беларусь);Лепель, Витебская обл.;Витебскаяобл.
8685;Лиозно, Витебская обл., Белоруссия (Беларусь);Лиозно, Витебская обл.;Витебскаяобл.
9224;Миоры, Витебская обл., Белоруссия (Беларусь);Миоры, Витебская обл.;Витебскаяобл.
9561;Новополоцк, Витебская обл., Белоруссия (Беларусь);Новополоцк, Витебская обл.;Витебскаяобл.
9963;Орша, Витебская обл., Белоруссия (Беларусь);Орша, Витебская обл.;Витебскаяобл.
10309;Полоцк, Витебская обл., Белоруссия (Беларусь);Полоцк, Витебская обл.;Витебскаяобл.
10360;Поставы, Витебская обл., Белоруссия (Беларусь);Поставы, Витебская обл.;Витебскаяобл.
10702;Россоны, Витебская обл., Белоруссия (Беларусь);Россоны, Витебская обл.;Витебскаяобл.
11128;Сенно, Витебская обл., Белоруссия (Беларусь);Сенно, Витебская обл.;Витебскаяобл.
11666;Толочин, Витебская обл., Белоруссия (Беларусь);Толочин, Витебская обл.;Витебскаяобл.
11915;Ушачи, Витебская обл., Белоруссия (Беларусь);Ушачи, Витебская обл.;Витебскаяобл.
12531;Чашники, Витебская обл., Белоруссия (Беларусь);Чашники, Витебская обл.;Витебскаяобл.
12686;Шарковщина, Витебская обл., Белоруссия (Беларусь);Шарковщина, Витебская обл.;Витебскаяобл.
12780;Шумилино, Витебская обл., Белоруссия (Беларусь);Шумилино, Витебская обл.;Витебскаяобл.
5257;Белицк, Гомельская обл., Белоруссия (Беларусь);Белицк, Гомельская обл.;Гомельскаяобл.
5520;Большевик, Гомельская обл., Белоруссия (Беларусь);Большевик, Гомельская обл.;Гомельскаяобл.
5567;Брагин, Гомельская обл., Белоруссия (Беларусь);Брагин, Гомельская обл.;Гомельскаяобл.
5692;Буда-Кошелево, Гомельская обл., Белоруссия (Белару;Буда-Кошелево, Гомельская обл.;Гомельскаяобл.
5888;Василевичи, Гомельская обл., Белоруссия (Беларусь);Василевичи, Гомельская обл.;Гомельскаяобл.
5889;Васильевка, Гомельская обл., Белоруссия (Беларусь);Васильевка, Гомельская обл.;Гомельскаяобл.
6091;Ветка, Гомельская обл., Белоруссия (Беларусь);Ветка, Гомельская обл.;Гомельскаяобл.
6539;Гомель, Гомельская обл., Белоруссия (Беларусь);Гомель, Гомельская обл.;Гомельскаяобл.
6961;Добруш, Гомельская обл., Белоруссия (Беларусь);Добруш, Гомельская обл.;Гомельскаяобл.
7105;Ельск, Гомельская обл., Белоруссия (Беларусь);Ельск, Гомельская обл.;Гомельскаяобл.
7162;Житковичи, Гомельская обл., Белоруссия (Беларусь);Житковичи, Гомельская обл.;Гомельскаяобл.
7164;Жлобин, Гомельская обл., Белоруссия (Беларусь);Жлобин, Гомельская обл.;Гомельскаяобл.
7563;Калинковичи, Гомельская обл., Белоруссия (Беларусь;Калинковичи, Гомельская обл.;Гомельскаяобл.
8170;Корма, Гомельская обл., Белоруссия (Беларусь);Корма, Гомельская обл.;Гомельскаяобл.
8578;Лельчицы, Гомельская обл., Белоруссия (Беларусь);Лельчицы, Гомельская обл.;Гомельскаяобл.
8733;Лоев, Гомельская обл., Белоруссия (Беларусь);Лоев, Гомельская обл.;Гомельскаяобл.
9269;Мозырь, Гомельская обл., Белоруссия (Беларусь);Мозырь, Гомельская обл.;Гомельскаяобл.
9456;Наровля, Гомельская обл., Белоруссия (Беларусь);Наровля, Гомельская обл.;Гомельскаяобл.
9843;Октябрьский, Гомельская обл., Белоруссия (Беларусь;Октябрьский, Гомельская обл.;Гомельскаяобл.
10208;Петриков, Гомельская обл., Белоруссия (Беларусь);Петриков, Гомельская обл.;Гомельскаяобл.
10562;Речица, Гомельская обл., Белоруссия (Беларусь);Речица, Гомельская обл.;Гомельскаяобл.
10643;Рогачев, Гомельская обл., Белоруссия (Беларусь);Рогачев, Гомельская обл.;Гомельскаяобл.
11062;Светлогорск, Гомельская обл., Белоруссия (Беларусь;Светлогорск, Гомельская обл.;Гомельскаяобл.
12381;Хойники, Гомельская обл., Белоруссия (Беларусь);Хойники, Гомельская обл.;Гомельскаяобл.
12579;Чечерск, Гомельская обл., Белоруссия (Беларусь);Чечерск, Гомельская обл.;Гомельскаяобл.
5518;Большая Берестовица, Гродненская обл., Белоруссия ;Большая Берестовица, Гродненская обл.;Гродненскаяобл.
6245;Волковыск, Гродненская обл., Белоруссия (Беларусь);Волковыск, Гродненская обл.;Гродненскаяобл.
6275;Вороново, Гродненская обл., Белоруссия (Беларусь);Вороново, Гродненская обл.;Гродненскаяобл.
6668;Гродно, Гродненская обл., Белоруссия (Беларусь);Гродно, Гродненская обл.;Гродненскаяобл.
7074;Дятлово, Гродненская обл., Белоруссия (Беларусь);Дятлово, Гродненская обл.;Гродненскаяобл.
7150;Желудок, Гродненская обл., Белоруссия (Беларусь);Желудок, Гродненская обл.;Гродненскаяобл.
7240;Зельва, Гродненская обл., Белоруссия (Беларусь);Зельва, Гродненская обл.;Гродненскаяобл.
7294;Ивье, Гродненская обл., Белоруссия (Беларусь);Ивье, Гродненская обл.;Гродненскаяобл.
8047;Козловщина, Гродненская обл., Белоруссия (Беларусь;Козловщина, Гродненская обл.;Гродненскаяобл.
8162;Кореличи, Гродненская обл., Белоруссия (Беларусь);Кореличи, Гродненская обл.;Гродненскаяобл.
8635;Лида, Гродненская обл., Белоруссия (Беларусь);Лида, Гродненская обл.;Гродненскаяобл.
9343;Мосты, Гродненская обл., Белоруссия (Беларусь);Мосты, Гродненская обл.;Гродненскаяобл.
