ID;FullName;CityName;OblName
13981;23мкр, Казахстан;23мкр;
14000;Аблакетка, Казахстан;Аблакетка;
14001;Авангард, Казахстан;Авангард;
14002;Акбулак, Казахстан;Акбулак;
14003;Аккистау, Казахстан;Аккистау;
14005;Аккульск, Казахстан;Аккульск;
14006;Аккум, Казахстан;Аккум;
14007;АКПО, Казахстан;АКПО;
14008;Аксай, Казахстан;Аксай;
14009;Аксукент, Казахстан;Аксукент;
13435;Актау, Мангистауская  обл, Казахстан;Актау, Мангистауская  обл;
14010;Акшакур, Казахстан;Акшакур;
14011;Алгабас, Казахстан;Алгабас;
4756;Алматы;Алматы;
14012;Алтынсарина, Казахстан;Алтынсарина;
14013;Асса, Казахстан;Асса;
14014;Аулиеколь, Казахстан;Аулиеколь;
14015;Ахмирово, Казахстан;Ахмирово;
14016;Аэропорт, Казахстан;Аэропорт;
14017;Б.Момыш улы, Казахстан;Б.Момыш улы;
14018;Бадам, Казахстан;Бадам;
14019;Бадамша, Казахстан;Бадамша;
14020;Баженово, Казахстан;Баженово;
14021;Байтанат, Казахстан;Байтанат;
14022;Балпык-би, Казахстан;Балпык-би;
14023;Белокаменка, Казахстан;Белокаменка;
14024;Белькуль, Казахстан;Белькуль;
14025;Береке, Казахстан;Береке;
14026;Берлестык, Казахстан;Берлестык;
14027;Бирлик, Казахстан;Бирлик;
14028;Бишкуль, Казахстан;Бишкуль;
14029;Бобровка, Казахстан;Бобровка;
14030;Большенарым, Казахстан;Большенарым;
14031;Булак, Казахстан;Булак;
14032;Васильковский ГОК, Казахстан;Васильковский ГОК;
14033;Водный, Казахстан;Водный;
14034;Возвышенка, Казахстан;Возвышенка;
14035;Володаровка, Казахстан;Володаровка;
14036;Восточная промзона, Казахстан;Восточная промзона;
14037;Выдриха, Казахстан;Выдриха;
14038;Гагарина, Казахстан;Гагарина;
14039;Глуховка, Казахстан;Глуховка;
14040;Горнятский, Казахстан;Горнятский;
14041;ГПП-500, Казахстан;ГПП-500;
14042;Гранитный, Казахстан;Гранитный;
14043;Грэсс, Казахстан;Грэсс;
14044;Дарьинск, Казахстан;Дарьинск;
14045;Даулет, Казахстан;Даулет;
14046;Денисовка, Казахстан;Денисовка;
14047;Деркул, Казахстан;Деркул;
14048;Долинка, Казахстан;Долинка;
14049;Достык, Казахстан;Достык;
14050;Егиндыколь, Казахстан;Егиндыколь;
14051;Енбек, Казахстан;Енбек;
14052;Енбек-Актау, Казахстан;Енбек-Актау;
14053;Жазык, Казахстан;Жазык;
14054;Жайрем, Казахстан;Жайрем;
14055;Жалагаш, Казахстан;Жалагаш;
14056;Жамбыл, Казахстан;Жамбыл;
14057;Жанаозен, Казахстан;Жанаозен;
14058;Жанаул, Казахстан;Жанаул;
14059;Жангылды, Казахстан;Жангылды;
14060;Жанокорган, Казахстан;Жанокорган;
14061;Жансугурова, Казахстан;Жансугурова;
14062;Жаркент, Казахстан;Жаркент;
14063;Жарколь, Казахстан;Жарколь;
14064;Жаркын, Казахстан;Жаркын;
14065;Жезды, Казахстан;Жезды;
14066;Желаево, Казахстан;Желаево;
14067;Жетысай, Казахстан;Жетысай;
14068;Жетысу, Казахстан;Жетысу;
14069;Жиланды, Казахстан;Жиланды;
13957;Житикара, Казахстан;Житикара;
14070;Жолпак Тобе, Казахстан;Жолпак Тобе;
14071;Жосалы, Казахстан;Жосалы;
14072;Жулдыз, Казахстан;Жулдыз;
14073;Заречный, Казахстан;Заречный;
14074;Затоболовка, Казахстан;Затоболовка;
14075;Зачаганский, Казахстан;Зачаганский;
14076;Ивановка, Казахстан;Ивановка;
14077;Изумрудный, Казахстан;Изумрудный;
14078;Ильичевка, Казахстан;Ильичевка;
14079;Интернациональный, Казахстан;Интернациональный;
14080;Иргели, Казахстан;Иргели;
276;Казахстан, Казахстан;Казахстан;
14081;Казахстанский Элект.завод, Казахстан;Казахстанский Элект.завод;
14082;Казгермунай, Казахстан;Казгермунай;
14083;Казгородок, Казахстан;Казгородок;
14084;Казыгурт, Казахстан;Казыгурт;
14085;Каменка, Казахстан;Каменка;
14086;Камысты, Казахстан;Камысты;
14087;Кандыагаш, Казахстан;Кандыагаш;
14088;Карабас, Казахстан;Карабас;
14089;Караколь, Казахстан;Караколь;
14090;Караоткель, Казахстан;Караоткель;
14091;Карасу, Казахстан;Карасу;
14092;Каратобе, Казахстан;Каратобе;
14093;Каратольск, Казахстан;Каратольск;
14094;Караузек, Казахстан;Караузек;
14095;Карлуга, Казахстан;Карлуга;
14096;Карсакпай, Казахстан;Карсакпай;
14097;Качиры, Казахстан;Качиры;
14098;Кенесары, Казахстан;Кенесары;
14099;Кик, Казахстан;Кик;
14100;Кирпичный, Казахстан;Кирпичный;
14101;Кишкенеколь, Казахстан;Кишкенеколь;
14102;Киялы, Казахстан;Киялы;
14103;Коктерек, Казахстан;Коктерек;
14104;Коктобе, Казахстан;Коктобе;
14105;Кокшетау-2, Казахстан;Кокшетау-2;
14106;Комсомольский, Казахстан;Комсомольский;
14107;Комсомольское, Казахстан;Комсомольское;
14108;Конзовод, Казахстан;Конзовод;
14109;Кордай, Казахстан;Кордай;
14110;Косчагыл, Казахстан;Косчагыл;
14111;Кошкар, Казахстан;Кошкар;
14112;Коштак, Казахстан;Коштак;
14113;Кощи, Казахстан;Кощи;
