ID;FullName;CityName;OblName
1588;Адыгейск, Адыгея респ.;Адыгейск;Адыгея респ.
1590;Афипсип, Адыгея респ.;Афипсип;Адыгея респ.
1600;Козет, Адыгея респ.;Козет;Адыгея респ.
1229;Кошехабль, Адыгея респ.;Кошехабль;Адыгея респ.
1233;Майкоп, Адыгея респ.;Майкоп;Адыгея респ.
1083;Натырбово, Адыгея респ.;Натырбово;Адыгея респ.
1617;Псекупс, Адыгея респ.;Псекупс;Адыгея респ.
1350;Тахтамукай, Адыгея респ.;Тахтамукай;Адыгея респ.
1624;Тлюстенхабль, Адыгея респ.;Тлюстенхабль;Адыгея респ.
1627;Энем, Адыгея респ.;Энем;Адыгея респ.
323;Яблоновский, Адыгея респ.;Яблоновский;Адыгея респ.
15403;Акташ, Алтай респ.;Акташ;Алтай респ.
13481;Артыбаш, Алтай респ.;Артыбаш;Алтай респ.
13516;Барангол, майминский р-н, Алтай респ.;Барангол, майминский р-н;Алтай респ.
13523;Барлак, Алтай респ.;Барлак;Алтай респ.
13504;Бирюля, Алтай респ.;Бирюля;Алтай респ.
822;Горно-Алтайск;Горно-Алтайск;Алтай респ.
13512;Дубровка, Алтай респ.;Дубровка;Алтай респ.
13514;Известковый, Алтай респ.;Известковый;Алтай респ.
13521;Камлак, Алтай респ.;Камлак;Алтай респ.
13518;Катунь, Чемальский р-н, Алтай респ.;Катунь, Чемальский р-н;Алтай респ.
15404;Кош-Агач, Алтай респ.;Кош-Агач;Алтай респ.
77;Майма, Алтай респ.;Майма;Алтай респ.
13476;Манжерок, Майминский р-н, Алтай респ.;Манжерок, Майминский р-н;Алтай респ.
13524;Мыюта, Алтай респ.;Мыюта;Алтай респ.
13482;Онгудай, Алтай респ.;Онгудай;Алтай респ.
13505;Паспаул, Алтай респ.;Паспаул;Алтай респ.
13506;Подгорное, Майминский р-н, Алтай респ.;Подгорное, Майминский р-н;Алтай респ.
13513;Рыбалка, Алтай респ.;Рыбалка;Алтай респ.
13483;Соузга, Алтай респ.;Соузга;Алтай респ.
15405;Турочак, Алтай респ.;Турочак;Алтай респ.
13519;Узнезя, Чемальский р-н, Алтай респ.;Узнезя, Чемальский р-н;Алтай респ.
15407;Усть-Кан, Алтай респ.;Усть-Кан;Алтай респ.
15408;Усть-Кокса, Алтай респ.;Усть-Кокса;Алтай респ.
13515;Усть-Муны, Майминский р-н, Алтай респ.;Усть-Муны, Майминский р-н;Алтай респ.
13525;Усть-Сема, Алтай респ.;Усть-Сема;Алтай респ.
15406;Усть-Улаган, Алтай респ.;Усть-Улаган;Алтай респ.
13478;Чемал, Алтай респ.;Чемал;Алтай респ.
13517;Чепош, Чемальский р-н, Алтай респ.;Чепош, Чемальский р-н;Алтай респ.
13522;Черга, Алтай респ.;Черга;Алтай респ.
13503;Чоя, Алтай респ.;Чоя;Алтай респ.
13479;Шебалино, Алтай респ.;Шебалино;Алтай респ.
13520;Элекмонар, Чемальский р-н, Алтай респ.;Элекмонар, Чемальский р-н;Алтай респ.
14854;Авиатор, Алтайский край;Авиатор;Алтайский край
795;Алейск, Алтайский край;Алейск;Алтайский край
6;Алтайское, Алтайский край;Алтайское;Алтайский край
13480;Ая, Алтайский край;Ая;Алтайский край
1856;Баево, Алтайский край;Баево;Алтайский край
274;Барнаул;Барнаул;Алтайский край
814;Белокуриха, Алтайский край;Белокуриха;Алтайский край
275;Бийск;Бийск;Алтайский край
13477;Бирюзовая Катунь, Алтайский край;Бирюзовая Катунь;Алтайский край
803;Благовещенка, Алтайский край;Благовещенка;Алтайский край
14855;Борзовая заимка, Алтайский край;Борзовая заимка;Алтайский край
13502;Бочкари, Алтайский край;Бочкари;Алтайский край
809;Бурла, Алтайский край;Бурла;Алтайский край
808;Быстрый Исток, Алтайский край;Быстрый Исток;Алтайский край
13510;Верх-Ая, Алтайский край;Верх-Ая;Алтайский край
2334;Верх-Суетка, Алтайский край;Верх-Суетка;Алтайский край
49;Веселоярск, Алтайский край;Веселоярск;Алтайский край
13276;Власиха, Алтайский край;Власиха;Алтайский край
804;Волчиха, Алтайский край;Волчиха;Алтайский край
792;Гальбштадт, Алтайский край;Гальбштадт;Алтайский край
783;Горняк, Алтайский край;Горняк;Алтайский край
