ID;FullName;CityName;OblName
14902;Глухов, Украина;Глухов;
965;Украина, Украина;Украина;
6178;Винница, Винницкая обл., Украина;Винница, Винницкая обл.;Винницкаяобл.
6361;Гайсин, Винницкая обл., Украина;Гайсин, Винницкая обл.;Винницкаяобл.
7524;Казатин, Винницкая обл., Украина;Казатин, Винницкая обл.;Винницкаяобл.
7564;Калиновка, Винницкая обл., Украина;Калиновка, Винницкая обл.;Винницкаяобл.
9264;Могилев-Подольский, Винницкая обл., Украина;Могилев-Подольский, Винницкая обл.;Винницкаяобл.
6234;Владимир-Волынский, Волынская обл., Украина;Владимир-Волынский, Волынская обл.;Волынскаяобл.
8029;Ковель, Волынская обл., Украина;Ковель, Волынская обл.;Волынскаяобл.
8817;Луцк, Волынская обл., Украина;Луцк, Волынская обл.;Волынскаяобл.
8829;Любомль, Волынская обл., Украина;Любомль, Волынская обл.;Волынскаяобл.
9553;Нововолынск, Волынская обл., Украина;Нововолынск, Волынская обл.;Волынскаяобл.
6263;Вольногорск, Днепропетровская обл., Украина;Вольногорск, Днепропетровская обл.;Днепропетровскаяобл.
6952;Днепродзержинск, Днепропетровская обл., Украина;Днепродзержинск, Днепропетровская обл.;Днепропетровскаяобл.
6953;Днепропетровск, Днепропетровская обл., Украина;Днепропетровск, Днепропетровская обл.;Днепропетровскаяобл.
8288;Кривой Рог, Днепропетровская обл., Украина;Кривой Рог, Днепропетровская обл.;Днепропетровскаяобл.
9526;Никополь, Днепропетровская обл., Украина;Никополь, Днепропетровская обл.;Днепропетровскаяобл.
10019;Павлоград, Днепропетровская обл., Украина;Павлоград, Днепропетровская обл.;Днепропетровскаяобл.
4599;Авдеевка, Донецкая обл., Украина;Авдеевка, Донецкая обл.;Донецкаяобл.
4943;Артемовск, Донецкая обл., Украина;Артемовск, Донецкая обл.;Донецкаяобл.
6248;Волноваха, Донецкая обл., Украина;Волноваха, Донецкая обл.;Донецкаяобл.
6558;Горловка, Донецкая обл., Украина;Горловка, Донецкая обл.;Донецкаяобл.
6971;Докучаевск, Донецкая обл., Украина;Докучаевск, Донецкая обл.;Донецкаяобл.
6979;Донецк, Донецкая обл., Украина;Донецк, Донецкая обл.;Донецкаяобл.
7011;Дружковка, Донецкая обл., Украина;Дружковка, Донецкая обл.;Донецкаяобл.
7109;Енакиево, Донецкая обл., Украина;Енакиево, Донецкая обл.;Донецкаяобл.
7267;Зугрэс, Донецкая обл., Украина;Зугрэс, Донецкая обл.;Донецкаяобл.
8145;Константиновка, Донецкая обл., Украина;Константиновка, Донецкая обл.;Донецкаяобл.
8243;Краматорск, Донецкая обл., Украина;Краматорск, Донецкая обл.;Донецкаяобл.
8249;Красноармейск, Донецкая обл., Украина;Красноармейск, Донецкая обл.;Донецкаяобл.
8893;Макеевка, Донецкая обл., Украина;Макеевка, Донецкая обл.;Донецкаяобл.
8988;Мариуполь, Донецкая обл., Украина;Мариуполь, Донецкая обл.;Донецкаяобл.
11248;Славянск, Донецкая обл., Украина;Славянск, Донецкая обл.;Донецкаяобл.
11268;Снежное, Донецкая обл., Украина;Снежное, Донецкая обл.;Донецкаяобл.
11688;Торез, Донецкая обл., Украина;Торез, Донецкая обл.;Донецкаяобл.
12261;Харцызск, Донецкая обл., Украина;Харцызск, Донецкая обл.;Донецкаяобл.
12703;Шахтерск, Донецкая обл., Украина;Шахтерск, Донецкая обл.;Донецкаяобл.
12990;Ясиноватая, Донецкая обл., Украина;Ясиноватая, Донецкая обл.;Донецкаяобл.
5346;Бердичев, Житомирская обл., Украина;Бердичев, Житомирская обл.;Житомирскаяобл.
7163;Житомир, Житомирская обл., Украина;Житомир, Житомирская обл.;Житомирскаяобл.
